Usuarios
121, @Pepe_Gónzales
254, @StephaniaCominos
365, @AndreaStanislao
412, @Josefina_La_Sifrina
512, @RosaMosa
231, @EduardoPetardo
123, @EnriqueManrique
129, @casanova23
870, @venepositivo
758, @yosoylatorre
578, @pitiypo
909, @obiwan123
893, @caribu_sol
467, @trapos232
239, @justiciero11
907, @Presentesiempre
Relaciones
254, 909, 5
254, 893, 1
512, 412, 2
231, 870, 5
231, 123, 1
123, 870, 15
123, 467, 6
129, 512, 10
870, 578, 7
870, 758, 1
758, 365, 9
578, 365, 4
909, 893, 5
893, 129, 3
893, 412, 4
239, 909, 90
